Domain,Reporter Countries,Partner Countries,Element,Item,Year,Unit,Value
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","1996","An","197"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","1997","An","2530"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","1998","An","437"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2000","An","285"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2001","An","1985"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2002","An","9372"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2003","An","44138"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2004","An","73911"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2005","An","32512"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2006","An","9892"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2007","An","8785"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2008","An","12767"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2009","An","32798"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2010","An","57552"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2011","An","43083"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2012","An","56026"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2013","An","66573"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2014","An","117906"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2015","An","81787"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2016","An","92935"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2017","An","76257"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2018","An","137749"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2019","An","163643"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2020","An","137644"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2021","An","96043"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2022","An","133446"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2014","t","32663.42"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2015","t","24536.05"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2016","t","26888.7"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2017","t","0"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2018","t","0"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2019","t","0"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2020","t","0"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2021","t","0"
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Cattle","2022","t","0"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","1995","An","8940"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","1996","An","20664"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","1997","An","31028"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","1998","An","23716"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","1999","An","16037"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2000","An","14393"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2001","An","17957"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2002","An","14028"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2003","An","22004"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2004","An","18098"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2005","An","25269"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2006","An","23444"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2007","An","21083"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2008","An","19770"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2009","An","16039"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2010","An","15041"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2011","An","12387"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2012","An","11281"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2013","An","13639"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2014","An","9473"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2015","An","6861"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2016","An","9090"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2017","An","15321"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2018","An","14489"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2019","An","17234"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2020","An","14533"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2021","An","11159"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2022","An","6357"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2014","t","2699.63"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2015","t","1966.86"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2016","t","2613.81"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2017","t","0"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2018","t","0"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2019","t","0"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2020","t","0"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2021","t","0"
"Detailed trade matrix","Australia","Japan","Export Quantity","Cattle","2022","t","0"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","1996","An","7873"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","1997","An","12031"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","1998","An","25600"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","1999","An","13495"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","2000","An","9594"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","2001","An","21264"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","2002","An","17706"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","2003","An","2552"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","2004","An","5911"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","2005","An","17481"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","2006","An","11273"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","2007","An","22167"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","2008","An","10131"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","2016","An","6677"
"Detailed trade matrix","Australia","Mexico","Export Quantity","Cattle","2016","t","2011.68"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2007","An","2838"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2008","An","3150"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2009","An","168"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2010","An","66002"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2011","An","56557"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2012","An","46342"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2013","An","9977"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2014","An","2400"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2016","An","61375"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2017","An","26090"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2018","An","17200"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2014","t","624"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2016","t","16470.42"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2017","t","0"
"Detailed trade matrix","Australia","Türkiye","Export Quantity","Cattle","2018","t","0"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","1995","An","9"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","1996","An","4"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","1997","An","10"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","1998","An","78"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","1999","An","23"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","2000","An","15"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","2001","An","13"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","2002","An","6"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","2005","An","11"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","2006","An","12"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","2007","An","55"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","2009","An","9"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","2011","An","18"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","2013","An","9"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","2017","An","4"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Cattle","2017","t","0"
"Detailed trade matrix","Canada","Australia","Export Quantity","Cattle","1998","An","1"
"Detailed trade matrix","Canada","Australia","Export Quantity","Cattle","2001","An","7"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Cattle","1996","An","259"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Cattle","1997","An","1329"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Cattle","1998","An","62"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Cattle","1999","An","89"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Cattle","2000","An","148"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Cattle","2002","An","1186"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Cattle","2008","An","244"
"Detailed trade matrix","Canada","Denmark","Export Quantity","Cattle","1995","An","5"
"Detailed trade matrix","Canada","Denmark","Export Quantity","Cattle","1996","An","8"
"Detailed trade matrix","Canada","Denmark","Export Quantity","Cattle","1999","An","8"
"Detailed trade matrix","Canada","Denmark","Export Quantity","Cattle","2000","An","4"
"Detailed trade matrix","Canada","France","Export Quantity","Cattle","1995","An","180"
"Detailed trade matrix","Canada","France","Export Quantity","Cattle","1996","An","79"
"Detailed trade matrix","Canada","France","Export Quantity","Cattle","1997","An","35"
"Detailed trade matrix","Canada","France","Export Quantity","Cattle","1998","An","33"
"Detailed trade matrix","Canada","France","Export Quantity","Cattle","1999","An","46"
"Detailed trade matrix","Canada","France","Export Quantity","Cattle","2000","An","2"
