Domain,Area,Element,Item,Year,Unit,Value
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","1995","USD","21780.254556"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","1996","USD","23919.69083"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","1997","USD","23754.311009"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","1998","USD","20999.430201"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","1999","USD","22740.697872"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2000","USD","21565.365702"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2001","USD","20326.276705"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2002","USD","22404.079004"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2003","USD","28448.15593"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2004","USD","34157.791942"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2005","USD","37842.507327"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2006","USD","40067.554537"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2007","USD","47385.411326"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2008","USD","49797.81139"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2009","USD","46965.196607"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2010","USD","59099.611394"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2011","USD","69245.627004"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2012","USD","70036.82589"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2013","USD","66820.508917"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2014","USD","62402.632438"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2015","USD","52321.003543"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2016","USD","54054.216565"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2017","USD","57489.804356"
"Macro Indicators","Australia","Value US$ per capita","Gross Domestic Product","2018","USD","58327.726542"
