Domain,Area,Element,Item,Year,Unit,Value
"Annual population","Australia","Rural population","Population - Est. & Proj.","1995","1000 No","2729.864"
"Annual population","Australia","Rural population","Population - Est. & Proj.","1996","1000 No","2783.238"
"Annual population","Australia","Rural population","Population - Est. & Proj.","1997","1000 No","2837.374"
"Annual population","Australia","Rural population","Population - Est. & Proj.","1998","1000 No","2892.475"
"Annual population","Australia","Rural population","Population - Est. & Proj.","1999","1000 No","2948.527"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2000","1000 No","3005.744"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2001","1000 No","3063.632"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2002","1000 No","3072.827"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2003","1000 No","3084.036"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2004","1000 No","3099.437"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2005","1000 No","3120.469"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2006","1000 No","3147.693"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2007","1000 No","3179.302"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2008","1000 No","3213.567"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2009","1000 No","3247.226"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2010","1000 No","3277.772"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2011","1000 No","3304.468"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2012","1000 No","3331.639"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2013","1000 No","3356.405"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2014","1000 No","3379.903"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2015","1000 No","3403.025"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2016","1000 No","3425.805"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2017","1000 No","3446.638"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2018","1000 No","3465.207"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2019","1000 No","3481.222"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2020","1000 No","3494.472"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2021","1000 No","3504.916"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2022","1000 No","3512.683"
"Annual population","Australia","Rural population","Population - Est. & Proj.","2023","1000 No","3517.928"
"Annual population","Canada","Rural population","Population - Est. & Proj.","1995","1000 No","6547.941"
"Annual population","Canada","Rural population","Population - Est. & Proj.","1996","1000 No","6531.267"
"Annual population","Canada","Rural population","Population - Est. & Proj.","1997","1000 No","6477.047"
"Annual population","Canada","Rural population","Population - Est. & Proj.","1998","1000 No","6420.704"
"Annual population","Canada","Rural population","Population - Est. & Proj.","1999","1000 No","6363.929"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2000","1000 No","6307.7"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2001","1000 No","6263.924"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2002","1000 No","6299.155"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2003","1000 No","6336.148"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2004","1000 No","6375.632"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2005","1000 No","6418.127"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2006","1000 No","6459.512"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2007","1000 No","6473.183"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2008","1000 No","6487.802"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2009","1000 No","6501.752"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2010","1000 No","6513.437"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2011","1000 No","6529.238"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2012","1000 No","6583.389"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2013","1000 No","6635.934"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2014","1000 No","6687.15"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2015","1000 No","6737.308"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2016","1000 No","6786.28"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2017","1000 No","6830.253"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2018","1000 No","6869.269"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2019","1000 No","6903.53"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2020","1000 No","6933.141"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2021","1000 No","6958.095"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2022","1000 No","6978.269"
"Annual population","Canada","Rural population","Population - Est. & Proj.","2023","1000 No","6993.543"
"Annual population","China","Rural population","Population - Est. & Proj.","1995","1000 No","862750.879"
"Annual population","China","Rural population","Population - Est. & Proj.","1996","1000 No","857727.869"
"Annual population","China","Rural population","Population - Est. & Proj.","1997","1000 No","851706.035"
"Annual population","China","Rural population","Population - Est. & Proj.","1998","1000 No","844831.29"
"Annual population","China","Rural population","Population - Est. & Proj.","1999","1000 No","837345.831"
"Annual population","China","Rural population","Population - Est. & Proj.","2000","1000 No","829403.316"
"Annual population","China","Rural population","Population - Est. & Proj.","2001","1000 No","818630.475"
"Annual population","China","Rural population","Population - Est. & Proj.","2002","1000 No","806104.331"
"Annual population","China","Rural population","Population - Est. & Proj.","2003","1000 No","793136.597"
"Annual population","China","Rural population","Population - Est. & Proj.","2004","1000 No","779706.681"
"Annual population","China","Rural population","Population - Est. & Proj.","2005","1000 No","765903.084"
"Annual population","China","Rural population","Population - Est. & Proj.","2006","1000 No","752299.538"
"Annual population","China","Rural population","Population - Est. & Proj.","2007","1000 No","738685.151"
"Annual population","China","Rural population","Population - Est. & Proj.","2008","1000 No","724760.394"
"Annual population","China","Rural population","Population - Est. & Proj.","2009","1000 No","710632.634"
"Annual population","China","Rural population","Population - Est. & Proj.","2010","1000 No","696249.563"
"Annual population","China","Rural population","Population - Est. & Proj.","2011","1000 No","682518.202"
"Annual population","China","Rural population","Population - Est. & Proj.","2012","1000 No","669007.424"
"Annual population","China","Rural population","Population - Est. & Proj.","2013","1000 No","655323.811"
"Annual population","China","Rural population","Population - Est. & Proj.","2014","1000 No","641352.868"
"Annual population","China","Rural population","Population - Est. & Proj.","2015","1000 No","627097.042"
"Annual population","China","Rural population","Population - Est. & Proj.","2016","1000 No","612549.421"
"Annual population","China","Rural population","Population - Est. & Proj.","2017","1000 No","597816.52"
"Annual population","China","Rural population","Population - Est. & Proj.","2018","1000 No","583199.631"
"Annual population","China","Rural population","Population - Est. & Proj.","2019","1000 No","568748.198"
"Annual population","China","Rural population","Population - Est. & Proj.","2020","1000 No","554487.938"
"Annual population","China","Rural population","Population - Est. & Proj.","2021","1000 No","540439.367"
"Annual population","China","Rural population","Population - Est. & Proj.","2022","1000 No","526626.069"
"Annual population","China","Rural population","Population - Est. & Proj.","2023","1000 No","513079.075"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","1995","1000 No","786.011"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","1996","1000 No","787.92"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","1997","1000 No","789.927"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","1998","1000 No","791.896"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","1999","1000 No","793.664"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2000","1000 No","795.838"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2001","1000 No","795.683"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2002","1000 No","792.499"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2003","1000 No","788.673"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2004","1000 No","779.832"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2005","1000 No","766.864"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2006","1000 No","756.876"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2007","1000 No","749.746"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2008","1000 No","742.924"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2009","1000 No","737.584"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2010","1000 No","733.539"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2011","1000 No","728.151"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2012","1000 No","721.427"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2013","1000 No","716.44"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2014","1000 No","713.1"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2015","1000 No","709.587"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2016","1000 No","705.862"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2017","1000 No","701.971"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2018","1000 No","697.769"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2019","1000 No","693.384"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2020","1000 No","688.897"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2021","1000 No","684.329"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2022","1000 No","679.66"
"Annual population","Denmark","Rural population","Population - Est. & Proj.","2023","1000 No","674.86"
"Annual population","France","Rural population","Population - Est. & Proj.","1995","1000 No","14611.473"
"Annual population","France","Rural population","Population - Est. & Proj.","1996","1000 No","14577.173"
"Annual population","France","Rural population","Population - Est. & Proj.","1997","1000 No","14544.158"
"Annual population","France","Rural population","Population - Est. & Proj.","1998","1000 No","14512.494"
"Annual population","France","Rural population","Population - Est. & Proj.","1999","1000 No","14465.046"
"Annual population","France","Rural population","Population - Est. & Proj.","2000","1000 No","14382.604"
"Annual population","France","Rural population","Population - Est. & Proj.","2001","1000 No","14302.809"
"Annual population","France","Rural population","Population - Est. & Proj.","2002","1000 No","14224.922"
"Annual population","France","Rural population","Population - Est. & Proj.","2003","1000 No","14149.19"
"Annual population","France","Rural population","Population - Est. & Proj.","2004","1000 No","14075.407"
"Annual population","France","Rural population","Population - Est. & Proj.","2005","1000 No","14003.975"
"Annual population","France","Rural population","Population - Est. & Proj.","2006","1000 No","13934.413"
"Annual population","France","Rural population","Population - Est. & Proj.","2007","1000 No","13866.281"
"Annual population","France","Rural population","Population - Est. & Proj.","2008","1000 No","13794.705"
"Annual population","France","Rural population","Population - Est. & Proj.","2009","1000 No","13717.697"
"Annual population","France","Rural population","Population - Est. & Proj.","2010","1000 No","13633.442"
"Annual population","France","Rural population","Population - Est. & Proj.","2011","1000 No","13541.366"
"Annual population","France","Rural population","Population - Est. & Proj.","2012","1000 No","13442.096"
"Annual population","France","Rural population","Population - Est. & Proj.","2013","1000 No","13336.757"
"Annual population","France","Rural population","Population - Est. & Proj.","2014","1000 No","13226.977"
"Annual population","France","Rural population","Population - Est. & Proj.","2015","1000 No","13113.96"
"Annual population","France","Rural population","Population - Est. & Proj.","2016","1000 No","12998.038"
"Annual population","France","Rural population","Population - Est. & Proj.","2017","1000 No","12879.012"
"Annual population","France","Rural population","Population - Est. & Proj.","2018","1000 No","12756.906"
"Annual population","France","Rural population","Population - Est. & Proj.","2019","1000 No","12631.632"
"Annual population","France","Rural population","Population - Est. & Proj.","2020","1000 No","12503.199"
"Annual population","France","Rural population","Population - Est. & Proj.","2021","1000 No","12371.78"
"Annual population","France","Rural population","Population - Est. & Proj.","2022","1000 No","12237.703"
"Annual population","France","Rural population","Population - Est. & Proj.","2023","1000 No","12101.328"
"Annual population","Italy","Rural population","Population - Est. & Proj.","1995","1000 No","18938.68"
"Annual population","Italy","Rural population","Population - Est. & Proj.","1996","1000 No","18895.836"
"Annual population","Italy","Rural population","Population - Est. & Proj.","1997","1000 No","18846.806"
"Annual population","Italy","Rural population","Population - Est. & Proj.","1998","1000 No","18802.229"
"Annual population","Italy","Rural population","Population - Est. & Proj.","1999","1000 No","18776.697"
"Annual population","Italy","Rural population","Population - Est. & Proj.","2000","1000 No","18779.731"
"Annual population","Italy","Rural population","Population - Est. & Proj.","2001","1000 No","18815.119"
"Annual population","Italy","Rural population","Population - Est. & Proj.","2002","1000 No","18853.502"
"Annual population","Italy","Rural population","Population - Est. & Proj.","2003","1000 No","18897.042"
"Annual population","Italy","Rural population","Population - Est. & Proj.","2004","1000 No","18940.573"
"Annual population","Italy","Rural population","Population - Est. & Proj.","2005","1000 No","18972.67"
"Annual population","Italy","Rural population","Population - Est. & Proj.","2006","1000 No","18990.436"
"Annual population","Italy","Rural population","Population - Est. & Proj.","2007","1000 No","18995.609"
"Annual population","Italy","Rural population","Population - Est. & Proj.","2008","1000 No","18985.986"
"Annual population","Italy","Rural population","Population - Est. & Proj.","2009","1000 No","18960.542"
"Annual population","Italy","Rural population","Population - Est. & Proj.","2010","1000 No","18918.497"
"Annual population","Italy","Rural population","Population - Est. & Proj.","2011","1000 No","18858.134"
"Annual population","Italy","Rural population","Population - Est. & Proj.","2012","1000 No","18706.111"
"Annual population","Italy","Rural population","Population - Est. & Proj.","2013","1000 No","18509.653"
