Domain,Reporter Countries,Partner Countries,Element,Item,Year,Unit,Value
"Detailed trade matrix","Australia","China, mainland","Export Quantity","Swine / pigs","2007","An","275"
"Detailed trade matrix","Australia","Japan","Export Quantity","Swine / pigs","1999","An","10"
"Detailed trade matrix","Australia","Japan","Export Quantity","Swine / pigs","2002","An","46"
"Detailed trade matrix","Australia","Japan","Export Quantity","Swine / pigs","2004","An","23"
"Detailed trade matrix","Australia","United Kingdom of Great Britain and Northern Ireland","Export Quantity","Swine / pigs","1995","An","8"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Swine / pigs","1997","An","2"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Swine / pigs","1998","An","23"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Swine / pigs","1999","An","10"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Swine / pigs","2000","An","12"
"Detailed trade matrix","Australia","United States of America","Export Quantity","Swine / pigs","2003","An","135"
"Detailed trade matrix","Canada","Australia","Export Quantity","Swine / pigs","1995","An","230"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","1996","An","260"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","1997","An","29"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","1998","An","374"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2000","An","223"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2002","An","499"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2008","An","931"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2010","An","666"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2011","An","2940"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2012","An","2508"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2013","An","5656"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2014","An","3941"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2015","An","835"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2016","An","4533"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2017","An","2393"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2018","An","1823"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2014","t","0"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2015","t","0"
"Detailed trade matrix","Canada","China, mainland","Export Quantity","Swine / pigs","2016","t","0"
