Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Australia","Stocks","Cattle","1995","An","25731220"
"Crops and livestock products","Australia","Stocks","Cattle","1996","An","26377400"
"Crops and livestock products","Australia","Stocks","Cattle","1997","An","26780000"
"Crops and livestock products","Australia","Stocks","Cattle","1998","An","26852000"
"Crops and livestock products","Australia","Stocks","Cattle","1999","An","26578000"
"Crops and livestock products","Australia","Stocks","Cattle","2000","An","27588000"
"Crops and livestock products","Australia","Stocks","Cattle","2001","An","27721000"
"Crops and livestock products","Australia","Stocks","Cattle","2002","An","27870000"
"Crops and livestock products","Australia","Stocks","Cattle","2003","An","26664000"
"Crops and livestock products","Australia","Stocks","Cattle","2004","An","27465000"
"Crops and livestock products","Australia","Stocks","Cattle","2005","An","27782000"
"Crops and livestock products","Australia","Stocks","Cattle","2006","An","28393400"
"Crops and livestock products","Australia","Stocks","Cattle","2007","An","28036600"
"Crops and livestock products","Australia","Stocks","Cattle","2008","An","27320978"
"Crops and livestock products","Australia","Stocks","Cattle","2009","An","27906764"
"Crops and livestock products","Australia","Stocks","Cattle","2010","An","26733000"
"Crops and livestock products","Australia","Stocks","Cattle","2011","An","28506168"
"Crops and livestock products","Australia","Stocks","Cattle","2012","An","28418422"
"Crops and livestock products","Australia","Stocks","Cattle","2013","An","29290768"
"Crops and livestock products","Australia","Stocks","Cattle","2014","An","29103000"
"Crops and livestock products","Australia","Stocks","Cattle","2015","An","27412872"
"Crops and livestock products","Australia","Stocks","Cattle","2016","An","24971349"
"Crops and livestock products","Australia","Stocks","Cattle","2017","An","26175521"
"Crops and livestock products","Australia","Stocks","Cattle","2018","An","26395734"
"Crops and livestock products","Australia","Stocks","Cattle","2019","An","24723458"
"Crops and livestock products","Australia","Stocks","Cattle","2020","An","23503238"
"Crops and livestock products","Australia","Stocks","Cattle","2021","An","24431174"
"Crops and livestock products","Australia","Stocks","Cattle","2022","An","24398826"
"Crops and livestock products","Australia","Stocks","Cattle","2023","An","29878186"
"Crops and livestock products","Canada","Stocks","Cattle","1995","An","12708700"
"Crops and livestock products","Canada","Stocks","Cattle","1996","An","13401700"
"Crops and livestock products","Canada","Stocks","Cattle","1997","An","13411600"
"Crops and livestock products","Canada","Stocks","Cattle","1998","An","13359900"
"Crops and livestock products","Canada","Stocks","Cattle","1999","An","13211300"
"Crops and livestock products","Canada","Stocks","Cattle","2000","An","13201300"
"Crops and livestock products","Canada","Stocks","Cattle","2001","An","13608200"
"Crops and livestock products","Canada","Stocks","Cattle","2002","An","13751500"
"Crops and livestock products","Canada","Stocks","Cattle","2003","An","13466000"
"Crops and livestock products","Canada","Stocks","Cattle","2004","An","14555000"
"Crops and livestock products","Canada","Stocks","Cattle","2005","An","14925000"
"Crops and livestock products","Canada","Stocks","Cattle","2006","An","14655000"
"Crops and livestock products","Canada","Stocks","Cattle","2007","An","14135000"
"Crops and livestock products","Canada","Stocks","Cattle","2008","An","13755000"
"Crops and livestock products","Canada","Stocks","Cattle","2009","An","13030000"
"Crops and livestock products","Canada","Stocks","Cattle","2010","An","12670000"
"Crops and livestock products","Canada","Stocks","Cattle","2011","An","12155000"
"Crops and livestock products","Canada","Stocks","Cattle","2012","An","12230000"
"Crops and livestock products","Canada","Stocks","Cattle","2013","An","12240000"
"Crops and livestock products","Canada","Stocks","Cattle","2014","An","12050000"
"Crops and livestock products","Canada","Stocks","Cattle","2015","An","11640000"
"Crops and livestock products","Canada","Stocks","Cattle","2016","An","11610000"
"Crops and livestock products","Canada","Stocks","Cattle","2017","An","11510000"
"Crops and livestock products","Canada","Stocks","Cattle","2018","An","11670000"
"Crops and livestock products","Canada","Stocks","Cattle","2019","An","11670000"
"Crops and livestock products","Canada","Stocks","Cattle","2020","An","11540000"
"Crops and livestock products","Canada","Stocks","Cattle","2021","An","11515000"
"Crops and livestock products","Canada","Stocks","Cattle","2022","An","11515000"
"Crops and livestock products","Canada","Stocks","Cattle","2023","An","11295000"
"Crops and livestock products","China","Stocks","Cattle","1995","An","100555931"
