Domain,Area,Element,Item,Year,Unit,Value
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","1995","1000 No","18095.344"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","1996","1000 No","18305.307"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","1997","1000 No","18504.912"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","1998","1000 No","18701.717"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","1999","1000 No","18909.981"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2000","1000 No","19132.471"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2001","1000 No","19365.433"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2002","1000 No","19595.355"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2003","1000 No","19819.454"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2004","1000 No","20046.677"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2005","1000 No","20294.49"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2006","1000 No","20590.559"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2007","1000 No","20954.549"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2008","1000 No","21370.589"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2009","1000 No","21783.011"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2010","1000 No","22141.58"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2011","1000 No","22479.775"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2012","1000 No","22852.644"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2013","1000 No","23236.27"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2014","1000 No","23595.6"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2015","1000 No","23948.002"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2016","1000 No","24329.963"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 No","24731.038"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2018","1000 No","25119.706"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2019","1000 No","25482.714"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2020","1000 No","25743.791"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2021","1000 No","25956.418"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2022","1000 No","26200.984"
"Annual population","Australia","Total Population - Both sexes","Population - Est. & Proj.","2023","1000 No","26451.124"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","1995","1000 No","29459.132"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","1996","1000 No","29767.206"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","1997","1000 No","30059.089"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","1998","1000 No","30329.969"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","1999","1000 No","30599.456"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2000","1000 No","30891.803"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2001","1000 No","31213.577"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2002","1000 No","31535.577"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2003","1000 No","31836.482"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2004","1000 No","32132.678"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2005","1000 No","32440.173"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2006","1000 No","32759.171"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2007","1000 No","33092.171"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2008","1000 No","33449.085"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2009","1000 No","33826.37"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2010","1000 No","34196.899"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2011","1000 No","34555.452"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2012","1000 No","34922.516"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2013","1000 No","35293.433"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2014","1000 No","35634.264"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2015","1000 No","35962.234"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2016","1000 No","36353.343"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 No","36808.497"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2018","1000 No","37295.005"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2019","1000 No","37782.935"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2020","1000 No","38171.902"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2021","1000 No","38454.057"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2022","1000 No","38821.259"
"Annual population","Canada","Total Population - Both sexes","Population - Est. & Proj.","2023","1000 No","39299.105"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","1995","1000 No","1248244.219"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","1996","1000 No","1259363.581"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","1997","1000 No","1269856.693"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","1998","1000 No","1279840.497"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","1999","1000 No","1289427.213"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2000","1000 No","1299056.018"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2001","1000 No","1308390.684"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2002","1000 No","1316711.163"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2003","1000 No","1324509.41"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2004","1000 No","1332216.11"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2005","1000 No","1340255.964"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2006","1000 No","1348408.507"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2007","1000 No","1356314.126"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2008","1000 No","1364463.873"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2009","1000 No","1373301.026"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2010","1000 No","1382449.985"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2011","1000 No","1391242.343"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2012","1000 No","1400655.332"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2013","1000 No","1410287.993"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2014","1000 No","1419354.592"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2015","1000 No","1427652.016"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2016","1000 No","1435681.095"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 No","1444079.121"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2018","1000 No","1450798.227"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2019","1000 No","1455351.282"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2020","1000 No","1457942.854"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2021","1000 No","1458174.603"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2022","1000 No","1456769.951"
"Annual population","China","Total Population - Both sexes","Population - Est. & Proj.","2023","1000 No","1454058.724"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","1995","1000 No","5233.36"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","1996","1000 No","5263.068"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","1997","1000 No","5285.035"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","1998","1000 No","5304.262"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","1999","1000 No","5321.81"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2000","1000 No","5339.658"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2001","1000 No","5358.828"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2002","1000 No","5375.959"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2003","1000 No","5390.62"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2004","1000 No","5404.598"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2005","1000 No","5419.555"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2006","1000 No","5437.42"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2007","1000 No","5461.607"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2008","1000 No","5493.764"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2009","1000 No","5523.173"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2010","1000 No","5547.863"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2011","1000 No","5570.849"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2012","1000 No","5591.917"
