Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Australia","Stocks","Swine / pigs","1995","An","2652810"
"Crops and livestock products","Australia","Stocks","Swine / pigs","1996","An","2526412"
"Crops and livestock products","Australia","Stocks","Swine / pigs","1997","An","2555000"
"Crops and livestock products","Australia","Stocks","Swine / pigs","1998","An","2768000"
"Crops and livestock products","Australia","Stocks","Swine / pigs","1999","An","2626000"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2000","An","2511000"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2001","An","2748000"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2002","An","2940000"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2003","An","2658000"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2004","An","2547788"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2005","An","2538000"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2006","An","2733000"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2007","An","2604681"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2008","An","2411454"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2009","An","2301714"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2010","An","2289292"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2011","An","2285214"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2012","An","2137921"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2013","An","2098147"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2014","An","2308000"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2015","An","2272164"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2016","An","2294245"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2017","An","2485699"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2018","An","2534030"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2019","An","2319033"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2020","An","2258046"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2021","An","2577597"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2022","An","2555138"
"Crops and livestock products","Australia","Stocks","Swine / pigs","2023","An","2470138"
"Crops and livestock products","Canada","Stocks","Swine / pigs","1995","An","11290500"
"Crops and livestock products","Canada","Stocks","Swine / pigs","1996","An","11588000"
"Crops and livestock products","Canada","Stocks","Swine / pigs","1997","An","11479500"
"Crops and livestock products","Canada","Stocks","Swine / pigs","1998","An","11985300"
"Crops and livestock products","Canada","Stocks","Swine / pigs","1999","An","12429400"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2000","An","12904400"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2001","An","13575500"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2002","An","14375000"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2003","An","14745000"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2004","An","14725000"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2005","An","14810000"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2006","An","15110000"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2007","An","14080000"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2008","An","12700000"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2009","An","12465000"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2010","An","12465000"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2011","An","12615000"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2012","An","12770000"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2013","An","12745000"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2014","An","12835000"
"Crops and livestock products","Canada","Stocks","Swine / pigs","2015","An","13180000"
