"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",21.56,28.37,35.23,86.71
"Feb",21.09,27.57,34.11,90.97
"Mar",19.13,25.75,32.42,57.67
"Apr",15.62,22.47,29.36,27.81
"May",11.57,18.28,25.05,23.66
"Jun",8.67,15.27,21.91,24.44
"Jul",7.64,14.68,21.76,20.4
"Aug",8.79,16.34,23.93,17.38
"Sep",12.21,19.92,27.68,16.81
"Oct",15.64,23.26,30.91,23.92
"Nov",18.36,25.71,33.12,35.68
"Dec",20.27,27.33,34.45,57.94
