"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",-25.83,-21.27,-16.75,36.31
"Feb",-25.19,-20.05,-14.97,28.29
"Mar",-20.48,-14.92,-9.39,32.33
"Apr",-11.73,-6.3,-0.88,31.48
"May",-2.89,2.37,7.64,40.09
"Jun",4.27,9.49,14.76,57.51
"Jul",7.82,13.11,18.45,66.69
"Aug",6.69,11.7,16.75,63.04
"Sep",1.74,6.14,10.57,57.01
"Oct",-5.31,-1.65,1.99,52.17
"Nov",-14.67,-10.89,-7.16,45.05
"Dec",-21.81,-17.61,-13.46,39.12
